"id_receita","receitas_concatenadas"
16,"gorros, Mini Gorros de Papai Noel, gorros, Barbante 6 - Rosa Claro, gorros, Lã algodão 6 - Rosa Claro, tapetes de banheiro, Mini Gorros de Papai Noel, tapetes de banheiro, Barbante 6 - Rosa Claro, tapetes de banheiro, Lã algodão 6 - Rosa Claro"
17,"coletes, Boca de Cachorro 12mm, coletes, Lã Amigurumi  Pelúcia - Amarelo Escuro, cortinas, Boca de Cachorro 12mm, cortinas, Lã Amigurumi  Pelúcia - Amarelo Escuro"
18,"xales, Agulha de Crochê 4,0 mm, xales, Lã algodão 4 - Marrom, xales, Lã algodão 8 - Azul Escuro, bichinhos, Agulha de Crochê 4,0 mm, bichinhos, Lã algodão 4 - Marrom, bichinhos, Lã algodão 8 - Azul Escuro"
19,"animais de pelucia, Bolinhas decorativas, animais de pelucia, Lã algodão 2 - Amarelo, animais de pelucia, Barbante 2 - Vermelho Escuro"
20,"bonecos, Botas de Natal, bonecos, Lã algodão 2 - Azul, bonecos, Barbante Natural 4 - Amarelo Claro, porta-shampoo, Botas de Natal, porta-shampoo, Lã algodão 2 - Azul, porta-shampoo, Barbante Natural 4 - Amarelo Claro"
21,"golas, Óculos de Mergulho, golas, Focinho de Cachorro 12mm, golas, Lã Amigurumi  Pelúcia - Amarelo Escuro"
22,"porta-toalhas, Óculos de Sol, porta-toalhas, Óculos de Esportes, porta-toalhas, Lã Amigurumi Soft - Verde, porta-toalhas, Lã Amigurumi Soft - Vermelho Claro, cachecois, Óculos de Sol, cachecois, Óculos de Esportes, cachecois, Lã Amigurumi Soft - Verde, cachecois, Lã Amigurumi Soft - Vermelho Claro"
23,"capas para garrafas de agua quente, Barbante 4 - Preto, capas para garrafas de agua quente, Lã algodão 4 - Roxo"
24,"xales, Bolinhas decorativas, xales, Barbante Natural 4 - Rosa Escuro, luvas, Bolinhas decorativas, luvas, Barbante Natural 4 - Rosa Escuro"
25,"bichinhos, Boca de Sorriso 15mm, bichinhos, Lã Amigurumi Soft - Vermelho Escuro, bichinhos, Lã Amigurumi Soft - Cinza"
26,"capas para almofadas de agulhas de trico, Barbante 2 - Branco"
27,"porta-talheres, Botas de Natal, porta-talheres, Barbante Natural 8 - Cinza"
28,"conjuntos de lingerie, Mini Gorros de Papai Noel, conjuntos de lingerie, Lã Amigurumi  - Roxo Escuro, conjuntos de lingerie, Barbante Natural 4 - Branco, golas, Mini Gorros de Papai Noel, golas, Lã Amigurumi  - Roxo Escuro, golas, Barbante Natural 4 - Branco"
29,"gorros, Bolinhas decorativas, gorros, Barbante Natural 8 - Vermelho, capas para garrafas de agua quente, Bolinhas decorativas, capas para garrafas de agua quente, Barbante Natural 8 - Vermelho"
30,"coletes, Focinho de Cachorro 12mm, coletes, Óculos de Segurança, coletes, Lã Amigurumi  Pelúcia - Vermelho Escuro, coletes, Lã Amigurumi  Pelúcia - Amarelo, almofadas, Focinho de Cachorro 12mm, almofadas, Óculos de Segurança, almofadas, Lã Amigurumi  Pelúcia - Vermelho Escuro, almofadas, Lã Amigurumi  Pelúcia - Amarelo"
31,"diversos, outros, Óculos de Sol, diversos, outros, Lã Amigurumi Soft - Marrom, diversos, outros, Lã Amigurumi Soft - Vermelho Escuro, porta-toalhas, Óculos de Sol, porta-toalhas, Lã Amigurumi Soft - Marrom, porta-toalhas, Lã Amigurumi Soft - Vermelho Escuro"
32,"cachecois, Boca de Cachorro 12mm, cachecois, Lã Amigurumi  Pelúcia - Roxo Escuro, cachecois, Lã Amigurumi Soft - Azul"
33,"porta-talheres, Mini Gorros de Papai Noel, porta-talheres, Lã Amigurumi Soft - Marrom, porta-talheres, Lã algodão 2 - Laranja"
34,"porta-talheres, Guirlandas, porta-talheres, Lã algodão 2 - Rosa Claro, porta-talheres, Lã Amigurumi  Pelúcia - Cinza Escuro, almofadas, Guirlandas, almofadas, Lã algodão 2 - Rosa Claro, almofadas, Lã Amigurumi  Pelúcia - Cinza Escuro"
35,"capas para garrafas de agua quente, Agulha de Crochê 4,0 mm, capas para garrafas de agua quente, Barbante 4 - Cinza Escuro"
36,"conjuntos de lingerie, Agulha de Crochê 4,0 mm, conjuntos de lingerie, Lã algodão 8 - Marrom"
37,"saidas de praia, Boca de Cachorro 12mm, saidas de praia, Lã Amigurumi Soft - Amarelo Claro, porta-toalhas, Boca de Cachorro 12mm, porta-toalhas, Lã Amigurumi Soft - Amarelo Claro"
38,"cortinas, Agulha de Crochê 4,0 mm, cortinas, Barbante 8 - Verde Escuro"
39,"amigurumis, Boca de Boneca 12mm, amigurumis, Olhos de Cachorro de Pelúcia 10mm, amigurumis, Lã Amigurumi Soft - Rosa Claro, amigurumis, Lã Amigurumi Soft - Azul Claro, cobertores, Boca de Boneca 12mm, cobertores, Olhos de Cachorro de Pelúcia 10mm, cobertores, Lã Amigurumi Soft - Rosa Claro, cobertores, Lã Amigurumi Soft - Azul Claro"
40,"babadores, Boca de Gato 10mm, babadores, Lã Amigurumi  Pelúcia - Vermelho, babadores, Lã Amigurumi  Pelúcia - Amarelo Claro, capas para livros, Boca de Gato 10mm, capas para livros, Lã Amigurumi  Pelúcia - Vermelho, capas para livros, Lã Amigurumi  Pelúcia - Amarelo Claro"
41,"capas para tampa de vaso, Lã Amigurumi  Pelúcia - Branco"
42,"panos de prato, Botas de Natal, panos de prato, Barbante 2 - Rosa Escuro, panos de prato, Lã algodão 6 - Marrom"
43,"mobiles para berco, Boca de Gato 10mm, mobiles para berco, Olhos de Gato de Plástico 6mm, mobiles para berco, Lã Amigurumi  Pelúcia - Amarelo Claro, capas para livros, Boca de Gato 10mm, capas para livros, Olhos de Gato de Plástico 6mm, capas para livros, Lã Amigurumi  Pelúcia - Amarelo Claro"
44,"luvas, Olhos de Gato de Plástico 6mm, luvas, Olhos de Cachorro de Pelúcia 12mm, luvas, Lã Amigurumi  Pelúcia - Laranja, luvas, Lã Amigurumi  Pelúcia - Rosa"
45,"gorros, Agulha de Crochê Tunisiano 3,5 mm, cobertores, Agulha de Crochê Tunisiano 3,5 mm"
46,"toucas e sapatinhos para bebe, Botão Pequeno Colorido"
47,"mobiles para berco, Pequenas Caixas de Presente, mobiles para berco, Lã Amigurumi Soft - Azul, mobiles para berco, Barbante Natural 4 - Amarelo Escuro"
48,"cachecois, Guirlandas, cachecois, Lã algodão 8 - Cinza Claro, capas para tampa de vaso, Guirlandas, capas para tampa de vaso, Lã algodão 8 - Cinza Claro"
49,"almofadas, Boca de Cachorro 12mm, almofadas, Olhos de Cachorro de Pelúcia 12mm, almofadas, Lã Amigurumi  Pelúcia - Vermelho Claro, almofadas, Lã Amigurumi  Pelúcia - Amarelo Escuro"
50,"cortinas, Focinho de Porco 18mm, cortinas, Lã Amigurumi Soft - Amarelo Claro, capas para livros, Focinho de Porco 18mm, capas para livros, Lã Amigurumi Soft - Amarelo Claro"
51,"capas para garrafas de agua quente, Lã Amigurumi  Pelúcia - Vermelho Claro"
52,"cortinas, Lã algodão 4 - Branco, cortinas, Lã algodão 4 - Vermelho Escuro, capas para livros, Lã algodão 4 - Branco, capas para livros, Lã algodão 4 - Vermelho Escuro"
53,"mantas para bebe, Boca de Cachorro 12mm, mantas para bebe, Lã Amigurumi Soft - Vermelho, mantas para bebe, Lã Amigurumi Soft - Cinza"
54,"babadores, Mini Árvores de Natal, babadores, Barbante 2 - Cinza Escuro"
55,"capas para tampa de vaso, Focinho de Gato 8mm, capas para tampa de vaso, Óculos de Esportes, capas para tampa de vaso, Lã Amigurumi Soft - Roxo Escuro, capas para tampa de vaso, Lã Amigurumi  Pelúcia - Preto, porta-copos, Focinho de Gato 8mm, porta-copos, Óculos de Esportes, porta-copos, Lã Amigurumi Soft - Roxo Escuro, porta-copos, Lã Amigurumi  Pelúcia - Preto"
56,"porta-shampoo, Mini Árvores de Natal, porta-shampoo, Guirlandas, animais de pelucia, Mini Árvores de Natal, animais de pelucia, Guirlandas"
57,"mochilas, Mini Árvores de Natal, mochilas, Lã algodão 8 - Rosa Claro, mochilas, Barbante 8 - Amarelo Escuro"
58,"cobertores, Agulha de Crochê 4,0 mm, cobertores, Lã algodão 4 - Amarelo, cobertores, Barbante 8 - Amarelo Escuro"
59,"bichinhos, Bolinhas decorativas, bichinhos, Mini Gorros de Papai Noel, bolsas de tablet/laptop, Bolinhas decorativas, bolsas de tablet/laptop, Mini Gorros de Papai Noel"
60,"capas para livros, Focinho de Gato 10mm, capas para livros, Focinho de Cachorro 12mm, capas para livros, Lã Amigurumi Soft - Roxo Escuro, capas para livros, Lã Amigurumi  Pelúcia - Branco, chaveiros, Focinho de Gato 10mm, chaveiros, Focinho de Cachorro 12mm, chaveiros, Lã Amigurumi Soft - Roxo Escuro, chaveiros, Lã Amigurumi  Pelúcia - Branco"
61,"porta-talheres, Agulha de Crochê 10,0 mm, porta-talheres, Agulha de Crochê 3,5 mm, bolsas, Agulha de Crochê 10,0 mm, bolsas, Agulha de Crochê 3,5 mm"
62,"bolsas de tablet/laptop, Mini Árvores de Natal, bolsas de tablet/laptop, Lã Amigurumi  Brilho - Laranja, bolsas de tablet/laptop, Barbante Natural 2 - Rosa"
63,"cortinas, Focinho de Porco 18mm, cortinas, Lã Amigurumi Soft - Cinza Claro, cortinas, Lã Amigurumi  Pelúcia - Laranja Escuro, jogos americanos, Focinho de Porco 18mm, jogos americanos, Lã Amigurumi Soft - Cinza Claro, jogos americanos, Lã Amigurumi  Pelúcia - Laranja Escuro"
64,"bichinhos, Lã Amigurumi Soft - Azul Escuro, bichinhos, Lã Amigurumi  Pelúcia - Verde Claro, tapetes, Lã Amigurumi Soft - Azul Escuro, tapetes, Lã Amigurumi  Pelúcia - Verde Claro"
65,"diversos, outros, Agulha de Crochê 4,0 mm, diversos, outros, Lã algodão 4 - Verde Escuro, diversos, outros, Lã algodão 4 - Roxo Escuro"
66,"almofadas, Focinho de Gato 8mm, almofadas, Óculos de Esportes, almofadas, Lã Amigurumi Soft - Laranja Claro, porta-copos, Focinho de Gato 8mm, porta-copos, Óculos de Esportes, porta-copos, Lã Amigurumi Soft - Laranja Claro"
67,"cachecois, Bolinhas decorativas, cachecois, Barbante Natural 6 - Laranja Escuro"
68,"mochilas, Marcador de pontos, mochilas, Botão Pequeno Metálico"
69,"tapetes de banheiro, Botão Pequeno Dourado"
70,"coletes, Agulha de Crochê 4,0 mm, coletes, Lã algodão 4 - Azul, coletes, Lã algodão 8 - Verde Escuro"
71,"conjuntos de lingerie, Botas de Natal, conjuntos de lingerie, Lã algodão 8 - Azul Claro, conjuntos de lingerie, Botas de Natal, conjuntos de lingerie, Lã algodão 8 - Azul Claro"
72,"cortinas, Botas de Natal, cortinas, Barbante 4 - Azul Claro, bolsas de tablet/laptop, Botas de Natal, bolsas de tablet/laptop, Barbante 4 - Azul Claro"
73,"bolsas, Agulha de Crochê 4,0 mm, bolsas, Lã algodão 4 - Roxo Claro, bolsas, Barbante 8 - Azul Escuro, chaveiros, Agulha de Crochê 4,0 mm, chaveiros, Lã algodão 4 - Roxo Claro, chaveiros, Barbante 8 - Azul Escuro"
74,"vestidos, Boca de Sorriso 20mm, vestidos, Olhos de Cachorro de Botão 6mm, vestidos, Lã Amigurumi  Pelúcia - Laranja Claro, vestidos, Lã Amigurumi Soft - Cinza Claro, conjuntos de lingerie, Boca de Sorriso 20mm, conjuntos de lingerie, Olhos de Cachorro de Botão 6mm, conjuntos de lingerie, Lã Amigurumi  Pelúcia - Laranja Claro, conjuntos de lingerie, Lã Amigurumi Soft - Cinza Claro"
75,"almofadas, Focinho de Cachorro 10mm, almofadas, Lã Amigurumi Soft - Laranja"
76,"porta-talheres, Focinho de Cachorro 10mm, porta-talheres, Boca de Sorriso 20mm, porta-talheres, Lã Amigurumi  Pelúcia - Rosa Claro"
77,"enfeites para carrinho de bebe, Óculos de Natação, enfeites para carrinho de bebe, Lã Amigurumi Soft - Vermelho Claro, enfeites para carrinho de bebe, Lã Amigurumi  Pelúcia - Amarelo, capas para tampa de vaso, Óculos de Natação, capas para tampa de vaso, Lã Amigurumi Soft - Vermelho Claro, capas para tampa de vaso, Lã Amigurumi  Pelúcia - Amarelo"
78,"diversos, outros, Agulha de Crochê 4,0 mm, diversos, outros, Lã algodão 8 - Branco, cobertores, Agulha de Crochê 4,0 mm, cobertores, Lã algodão 8 - Branco"
79,"babadores, Guirlandas, babadores, Barbante Natural 8 - Cinza Escuro, babadores, Lã Amigurumi  Brilho - Amarelo, top cropped, Guirlandas, top cropped, Barbante Natural 8 - Cinza Escuro, top cropped, Lã Amigurumi  Brilho - Amarelo"
80,"gorros, Pequenas Caixas de Presente, gorros, Lã Amigurumi  - Rosa Escuro, gorros, Lã algodão 2 - Amarelo Claro"
81,"animais de pelucia, Olhos de Gato de Plástico 8mm, animais de pelucia, Lã Amigurumi Soft - Cinza Escuro, animais de pelucia, Lã Amigurumi Soft - Preto, meias, Olhos de Gato de Plástico 8mm, meias, Lã Amigurumi Soft - Cinza Escuro, meias, Lã Amigurumi Soft - Preto"
82,"coletes, Botão Pequeno Rosa"
83,"mantas para bebe, Olhos de Cachorro de Botão 8mm, mantas para bebe, Focinho de Porco 20mm, mantas para bebe, Lã Amigurumi Soft - Vermelho Claro, mantas para bebe, Lã Amigurumi  Pelúcia - Laranja Escuro, golas, Olhos de Cachorro de Botão 8mm, golas, Focinho de Porco 20mm, golas, Lã Amigurumi Soft - Vermelho Claro, golas, Lã Amigurumi  Pelúcia - Laranja Escuro"
84,"chapeus, Guirlandas, chapeus, Botas de Natal, coletes, Guirlandas, coletes, Botas de Natal"
85,"xales, Pequenas Caixas de Presente, xales, Mini Gorros de Papai Noel, bichinhos, Pequenas Caixas de Presente, bichinhos, Mini Gorros de Papai Noel"
86,"bonecos, Bolinhas decorativas"
87,"mochilas, Agulha de Crochê 4,0 mm, mochilas, Lã algodão 4 - Azul, golas, Agulha de Crochê 4,0 mm, golas, Lã algodão 4 - Azul"
88,"luvas, Olhos de Cachorro de Botão 8mm, luvas, Lã Amigurumi Soft - Roxo Claro, luvas, Lã Amigurumi Soft - Preto"
89,"cestas organizadoras, Guirlandas, cestas organizadoras, Botas de Natal"
90,"babadores, Lã Amigurumi Soft - Branco, capas para livros, Lã Amigurumi Soft - Branco"
91,"cobertores, Agulha de Crochê 4,0 mm, cobertores, Lã algodão 4 - Verde Escuro, cobertores, Lã algodão 4 - Rosa Escuro"
92,"chapeus, Olhos de Cachorro de Pelúcia 10mm, chapeus, Olhos de Gato de Plástico 8mm, chapeus, Lã Amigurumi  Pelúcia - Verde, chapeus, Lã Amigurumi  Pelúcia - Azul Claro"
93,"capas para livros, Lã Amigurumi  - Roxo Claro"
94,"cortinas, Óculos de Leitura, cortinas, Focinho de Porco 18mm, cortinas, Lã Amigurumi Soft - Laranja Escuro, capas para tampa de vaso, Óculos de Leitura, capas para tampa de vaso, Focinho de Porco 18mm, capas para tampa de vaso, Lã Amigurumi Soft - Laranja Escuro"
95,"capas para tampa de vaso, Mini Gorros de Papai Noel, capas para tampa de vaso, Lã Amigurumi  - Rosa Escuro"
96,"meias, Focinho de Porco 18mm, meias, Lã Amigurumi  Pelúcia - Verde, meias, Lã Amigurumi Soft - Vermelho"
97,"babadores, Chapéu de Palha, babadores, Lã Amigurumi Soft - Vermelho Claro, capas para almofadas, Chapéu de Palha, capas para almofadas, Lã Amigurumi Soft - Vermelho Claro"
98,"porta-talheres, Bolinhas decorativas, porta-talheres, Lã algodão 6 - Rosa, porta-talheres, Barbante Natural 2 - Verde Claro"
99,"colares, Óculos de Mergulho, colares, Chapéu de Cowboy, colares, Lã Amigurumi Soft - Vermelho Claro, colares, Lã Amigurumi Soft - Vermelho"
100,"golas, Agulha de Crochê 4,0 mm, golas, Lã algodão 4 - Laranja, golas, Lã algodão 8 - Marrom, vestidos, Agulha de Crochê 4,0 mm, vestidos, Lã algodão 4 - Laranja, vestidos, Lã algodão 8 - Marrom"
101,"cintos, Óculos de Esportes, cintos, Lã Amigurumi Soft - Rosa Escuro, cintos, Lã Amigurumi  Pelúcia - Amarelo Claro"
102,"colares, Botão Pequeno Transparente, colares, Botão Pequeno Colorido"
103,"tapetes, Chapéu de Palha, tapetes, Lã Amigurumi Soft - Amarelo, tapetes, Lã Amigurumi Soft - Laranja Claro"
104,"diversos, outros, Focinho de Cachorro 10mm, diversos, outros, Óculos de Leitura, diversos, outros, Lã Amigurumi  Pelúcia - Rosa, diversos, outros, Lã Amigurumi  Pelúcia - Laranja Escuro, bolsas de tablet/laptop, Focinho de Cachorro 10mm, bolsas de tablet/laptop, Óculos de Leitura, bolsas de tablet/laptop, Lã Amigurumi  Pelúcia - Rosa, bolsas de tablet/laptop, Lã Amigurumi  Pelúcia - Laranja Escuro"
105,"golas, Boca de Sorriso 20mm, golas, Chapéu de Inverno, meias, Boca de Sorriso 20mm, meias, Chapéu de Inverno"
106,"blusas, Agulha de Crochê 4,0 mm, blusas, Lã algodão 4 - Verde Claro, porta-shampoo, Agulha de Crochê 4,0 mm, porta-shampoo, Lã algodão 4 - Verde Claro"
107,"biquinis, Mini Árvores de Natal, biquinis, Barbante Natural 8 - Cinza Claro"
108,"almofadas, Botas de Natal, almofadas, Lã algodão 2 - Roxo Claro"
109,"enfeites para carrinho de bebe, Olhos de Cachorro de Pelúcia 12mm, enfeites para carrinho de bebe, Focinho de Porco 20mm, enfeites para carrinho de bebe, Lã Amigurumi Soft - Cinza, enfeites para carrinho de bebe, Lã Amigurumi  Pelúcia - Laranja, coletes, Olhos de Cachorro de Pelúcia 12mm, coletes, Focinho de Porco 20mm, coletes, Lã Amigurumi Soft - Cinza, coletes, Lã Amigurumi  Pelúcia - Laranja"
110,"animais de pelucia, Chapéu de Festa, animais de pelucia, Lã Amigurumi  Pelúcia - Verde Claro, porta-copos, Chapéu de Festa, porta-copos, Lã Amigurumi  Pelúcia - Verde Claro"
111,"conjuntos de lingerie, Mini Gorros de Papai Noel, conjuntos de lingerie, Barbante Natural 6 - Azul Escuro, conjuntos de lingerie, Barbante 6 - Roxo Escuro, cachecois, Mini Gorros de Papai Noel, cachecois, Barbante Natural 6 - Azul Escuro, cachecois, Barbante 6 - Roxo Escuro"
112,"luvas, Focinho de Cachorro 10mm, luvas, Boca de Gato 10mm"
113,"biquinis, Chapéu de Sol, biquinis, Lã Amigurumi  Pelúcia - Amarelo"
114,"colares, Barbante 2 - Cinza Claro, colares, Lã algodão 2 - Roxo Escuro, blusas, Barbante 2 - Cinza Claro, blusas, Lã algodão 2 - Roxo Escuro"
115,"mobiles para berco, Botão Pequeno Metálico, mobiles para berco, Botão Pequeno Amarelo"
116,"babadores, Lã Amigurumi  Pelúcia - Rosa"
117,"porta-sabonetes, Óculos de Natação, porta-sabonetes, Lã Amigurumi Soft - Amarelo, bonecos, Óculos de Natação, bonecos, Lã Amigurumi Soft - Amarelo"
118,"toucas e sapatinhos para bebe, Agulha de Crochê 4,0 mm, toucas e sapatinhos para bebe, Lã algodão 4 - Amarelo, toucas e sapatinhos para bebe, Lã algodão 4 - Roxo, capas para livros, Agulha de Crochê 4,0 mm, capas para livros, Lã algodão 4 - Amarelo, capas para livros, Lã algodão 4 - Roxo"
119,"vestidos, Agulha de Crochê 4,0 mm, vestidos, Lã algodão 8 - Laranja, golas, Agulha de Crochê 4,0 mm, golas, Lã algodão 8 - Laranja"
120,"cobertores, Agulha de Crochê 4,0 mm, cobertores, Lã algodão 4 - Rosa Claro"
121,"mobiles para berco, Agulha de Crochê 4,0 mm, mobiles para berco, Barbante 4 - Marrom, enfeites para carrinho de bebe, Agulha de Crochê 4,0 mm, enfeites para carrinho de bebe, Barbante 4 - Marrom"
122,"xales, Agulha de Crochê 4,0 mm, xales, Lã algodão 8 - Preto"
123,"porta-copos, Botão Pequeno Transparente, colares, Botão Pequeno Transparente"
124,"vestidos, Lã Amigurumi  Pelúcia - Amarelo Escuro, vestidos, Lã Amigurumi Soft - Azul, enfeites para carrinho de bebe, Lã Amigurumi  Pelúcia - Amarelo Escuro, enfeites para carrinho de bebe, Lã Amigurumi Soft - Azul"
125,"babadores, Focinho de Porco 18mm, babadores, Chapéu de Cowboy, babadores, Lã Amigurumi  Pelúcia - Azul Escuro"
126,"xales, Olhos de Cachorro de Botão 8mm, xales, Chapéu de Palha, xales, Lã Amigurumi  Pelúcia - Azul, xales, Lã Amigurumi Soft - Cinza Claro, tapetes de banheiro, Olhos de Cachorro de Botão 8mm, tapetes de banheiro, Chapéu de Palha, tapetes de banheiro, Lã Amigurumi  Pelúcia - Azul, tapetes de banheiro, Lã Amigurumi Soft - Cinza Claro"
127,"porta-shampoo, Botão Pequeno Azul, luvas, Botão Pequeno Azul"
128,"top cropped, Agulha de Crochê 4,0 mm, top cropped, Lã algodão 4 - Vermelho Escuro, toucas e sapatinhos para bebe, Agulha de Crochê 4,0 mm, toucas e sapatinhos para bebe, Lã algodão 4 - Vermelho Escuro"
129,"babadores, Lã Amigurumi  Pelúcia - Amarelo Escuro, babadores, Lã Amigurumi  Pelúcia - Preto, bonecos, Lã Amigurumi  Pelúcia - Amarelo Escuro, bonecos, Lã Amigurumi  Pelúcia - Preto"
130,"porta-talheres, Olhos de Cachorro de Botão 6mm"
131,"mochilas, Agulha de Crochê 4,0 mm, mochilas, Barbante 4 - Verde Escuro"
132,"tapetes de banheiro, Olhos de Cachorro de Botão 6mm, tapetes de banheiro, Chapéu de Cowboy, tapetes de banheiro, Lã Amigurumi  Pelúcia - Verde Claro, saidas de praia, Olhos de Cachorro de Botão 6mm, saidas de praia, Chapéu de Cowboy, saidas de praia, Lã Amigurumi  Pelúcia - Verde Claro"
133,"babadores, Agulha de Crochê Tunisiano 2,0 mm"
134,"porta-sabonetes, Agulha de Crochê 4,0 mm, porta-sabonetes, Lã algodão 8 - Cinza Escuro, top cropped, Agulha de Crochê 4,0 mm, top cropped, Lã algodão 8 - Cinza Escuro"
135,"capas para livros, Mini Gorros de Papai Noel, capas para livros, Barbante Natural 2 - Amarelo Claro, bonecos, Mini Gorros de Papai Noel, bonecos, Barbante Natural 2 - Amarelo Claro"
136,"conjuntos de lingerie, Mini Gorros de Papai Noel, babadores, Mini Gorros de Papai Noel"
137,"chaveiros, Chapéu de Sol, chaveiros, Lã Amigurumi Soft - Amarelo Escuro, jogos americanos, Chapéu de Sol, jogos americanos, Lã Amigurumi Soft - Amarelo Escuro"
138,"gorros, Lã Amigurumi  Brilho - Roxo"
139,"diversos, outros, Óculos de Natação, diversos, outros, Olhos de Gato de Plástico 6mm, diversos, outros, Lã Amigurumi  Pelúcia - Verde Escuro, diversos, outros, Lã Amigurumi  Pelúcia - Verde Claro, conjuntos de lingerie, Óculos de Natação, conjuntos de lingerie, Olhos de Gato de Plástico 6mm, conjuntos de lingerie, Lã Amigurumi  Pelúcia - Verde Escuro, conjuntos de lingerie, Lã Amigurumi  Pelúcia - Verde Claro"
140,"diversos, outros, Óculos de Leitura, diversos, outros, Lã Amigurumi  Pelúcia - Verde Claro, diversos, outros, Lã Amigurumi  Pelúcia - Verde"
141,"tapetes, Botas de Natal, tapetes, Lã algodão 4 - Cinza, tapetes, Lã algodão 2 - Amarelo Escuro, almofadas, Botas de Natal, almofadas, Lã algodão 4 - Cinza, almofadas, Lã algodão 2 - Amarelo Escuro"
142,"jogos americanos, Guirlandas, jogos americanos, Barbante Natural 2 - Laranja, jogos americanos, Lã Amigurumi  Pelúcia - Vermelho Escuro, mochilas, Guirlandas, mochilas, Barbante Natural 2 - Laranja, mochilas, Lã Amigurumi  Pelúcia - Vermelho Escuro"
143,"xales, Focinho de Gato 10mm, xales, Óculos de Esportes, xales, Lã Amigurumi Soft - Preto, xales, Lã Amigurumi  Pelúcia - Marrom, golas, Focinho de Gato 10mm, golas, Óculos de Esportes, golas, Lã Amigurumi Soft - Preto, golas, Lã Amigurumi  Pelúcia - Marrom"
144,"toalhas de mesa, Agulha de Crochê Tunisiano 5,0 mm"
145,"conjuntos de lingerie, Agulha de Crochê 4,0 mm, conjuntos de lingerie, Lã algodão 8 - Amarelo Claro, conjuntos de lingerie, Lã algodão 4 - Rosa Escuro"
146,"porta-toalhas, Lã Amigurumi  Brilho - Preto, porta-toalhas, Lã Amigurumi  Brilho - Vermelho Claro, top cropped, Lã Amigurumi  Brilho - Preto, top cropped, Lã Amigurumi  Brilho - Vermelho Claro"
147,"toalhas de mesa, Chapéu de Páscoa, toalhas de mesa, Focinho de Porco 18mm, toalhas de mesa, Lã Amigurumi Soft - Amarelo, bichinhos, Chapéu de Páscoa, bichinhos, Focinho de Porco 18mm, bichinhos, Lã Amigurumi Soft - Amarelo"
148,"meias, Focinho de Cachorro 10mm, meias, Lã Amigurumi Soft - Cinza, meias, Lã Amigurumi Soft - Azul Escuro, porta-sabonetes, Focinho de Cachorro 10mm, porta-sabonetes, Lã Amigurumi Soft - Cinza, porta-sabonetes, Lã Amigurumi Soft - Azul Escuro"
149,"cestas organizadoras, Agulha de Crochê 4,0 mm, cestas organizadoras, Barbante 4 - Amarelo Claro"
150,"cortinas, Boca de Cachorro 12mm, cortinas, Boca de Boneca 15mm, cortinas, Lã Amigurumi  Pelúcia - Azul Escuro, chapeus, Boca de Cachorro 12mm, chapeus, Boca de Boneca 15mm, chapeus, Lã Amigurumi  Pelúcia - Azul Escuro"
